q1	q2	q19	q20	q25	q47	q50a	q50b	q50c	q50d	q50e	q58	q60	q61a	q61b	q61c	q64	q65a	q65b	q65c	q65d	q65e	q66	q68a	q68b	q68d	q69	q70	q71	q75
1249	Dissatisfied	Disapprove	Some of the time	Basically content	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Not too fair	Not too much	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
1250	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Favor	Never fair game	Some	Some	Only a little	Not fair at all	Some	A lot	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Not too well	A lot
1251	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Only a little	None at all	Only a little	Not too fair	Not at all	Some	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A little
1252	Dissatisfied	Disapprove	Most of the time	(VOL) Don't know/Refused	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #1	Statement #2	Favor	Never fair game	A lot	A lot	Only a little	Not too fair	Some	Some	Some	Some	Some	Losing influence	Friendly toward religion	Unfriendly toward religion	Neutral toward religion	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Not too well	A lot
1253	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Some	Moderately fair	Not at all	Some	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
1254	Satisfied	Approve	Some of the time	Basically content	Most of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Oppose	Never fair game	None at all	None at all	None at all	Very fair	Not at all	Not at all	Not at all	Not at all	Not at all	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A little
1255	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Strongly oppose	Never fair game	Some	Some	Only a little	Moderately fair	Some	Some	Not at all	Not at all	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	(VOL) Don't know/Refused	Approve	Very well	A lot
1256	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not fair at all	Not at all	Some	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1257	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #2	Favor	Sometimes fair game [OR IS IT]	Only a little	A lot	A lot	Moderately fair	Some	Not too much	A lot	Some	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A little
1258	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	None at all	Not too fair	Not at all	Not too much	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
1259	Dissatisfied	Disapprove	(VOL) Don't know/Refused	Basically content	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #2	Strongly favor	Never fair game	A lot	A lot	None at all	Not fair at all	A lot	Some	A lot	Not at all	A lot	Increasing influence	Friendly toward religion	Unfriendly toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1260	Dissatisfied	Approve	Most of the time	Angry	(VOL) Don't know/Refused	Yes, keeping promises	Statement #2	Statement #2	(VOL) Neither/Both equally	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	A lot	Moderately fair	A lot	A lot	(VOL) Don't know/Refused	Not too much	(VOL) Don't know/Refused	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not too well	A lot
1261	Dissatisfied	Disapprove	Most of the time	Angry	(VOL) Never	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Some	Not fair at all	Some	A lot	A lot	Some	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
1262	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	Some	Some	Only a little	Not too fair	A lot	Some	A lot	Not at all	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Not too well	A lot
1263	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	None at all	Not fair at all	A lot	A lot	A lot	Not at all	(VOL) Don't know/Refused	Losing influence	Neutral toward religion	(VOL) Don't know/Refused	Neutral toward religion	Should keep out of political matters	Disapprove	(VOL) Don't know/Refused	A lot
1264	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #2	Oppose	Never fair game	A lot	A lot	Some	Not fair at all	A lot	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1265	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #2	(VOL) Neither/Both equally	(VOL) Neither/Both equally	Statement #2	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Not at all	Not at all	Not too much	Not too much	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
1266	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Not too much	A lot	Some	A lot	Some	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Not too well	A lot
1267	Dissatisfied	Disapprove	Most of the time	Angry	(VOL) Never	Yes, keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Oppose	Sometimes fair game [OR IS IT]	Some	Only a little	Only a little	Not fair at all	A lot	Not at all	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1268	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #2	Statement #2	Favor	Sometimes fair game [OR IS IT]	A lot	A lot	A lot	Not fair at all	A lot	A lot	A lot	A lot	A lot	Increasing influence	Neutral toward religion	Neutral toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A little
1269	Satisfied	Approve	Most of the time	Frustrated	Just about always	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	(VOL) Don't know/Refused	Never fair game	Some	(VOL) Don't know/Refused	None at all	Moderately fair	Some	A lot	Some	Some	Some	(VOL) Same	(VOL) Don't know/Refused	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
1270	Dissatisfied	Approve	Some of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly oppose	Never fair game	Some	Some	Some	Moderately fair	Not too much	Some	Some	Not too much	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
1271	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #2	Favor	Never fair game	A lot	A lot	None at all	Not fair at all	Not at all	A lot	A lot	Not at all	Not at all	Losing influence	Friendly toward religion	Unfriendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
1272	Satisfied	Approve	Only now and then	Basically content	Most of the time	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #1	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Only a little	Only a little	None at all	Moderately fair	Not at all	Not at all	A lot	A lot	Not at all	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
1273	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Not too much	Not too much	Some	Not too much	Some	Losing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
1274	Dissatisfied	Disapprove	Some of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	Some	Some	Only a little	Not too fair	Not at all	Not too much	A lot	Not at all	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1275	Satisfied	Approve	Some of the time	Basically content	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Oppose	Never fair game	Only a little	Only a little	Some	Moderately fair	Not too much	Not too much	Not at all	Not at all	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not at all well	A lot
1276	Satisfied	Approve	Most of the time	Frustrated	Just about always	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Some	Only a little	None at all	Moderately fair	Not at all	Not at all	Not at all	Some	Not at all	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	(VOL) Don't know/Refused	A lot
1277	Dissatisfied	Disapprove	Only now and then	Basically content	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not too fair	A lot	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
1278	Dissatisfied	Approve	Most of the time	Basically content	Just about always	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	None at all	None at all	A lot	Very fair	A lot	Some	Some	Some	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
1279	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	A lot	Only a little	Not too fair	Some	Some	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
1280	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Oppose	Never fair game	Some	Some	Some	Moderately fair	Some	A lot	A lot	A lot	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Somewhat well	A little
1281	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #1	Strongly oppose	Never fair game	A lot	A lot	Only a little	Moderately fair	Not too much	Not at all	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
1282	Satisfied	(VOL) Don't know/Refused	Some of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #2	Statement #1	(VOL) Neither/Both equally	Statement #1	(VOL) Neither/Both equally	Favor	Sometimes fair game [OR IS IT]	(VOL) Don't know/Refused	Some	Some	Not fair at all	Not at all	(VOL) Don't know/Refused	Some	(VOL) Don't know/Refused	Some	Increasing influence	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Friendly toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Very well	A lot
1283	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Only a little	Not too fair	Not at all	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1284	Dissatisfied	Approve	Only now and then	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Never fair game	Some	Some	Some	Moderately fair	Some	Some	Some	Some	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
1285	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not too fair	Not too much	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not too well	A lot
1286	Dissatisfied	Approve	Most of the time	Angry	(VOL) Never	No, not keeping promises	(VOL) Neither/Both equally	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Only a little	Only a little	Some	Not too fair	Some	Not too much	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
1287	Dissatisfied	Disapprove	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Never fair game	A lot	None at all	Some	Not too fair	Not too much	A lot	Some	Some	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
1288	Dissatisfied	Disapprove	Most of the time	Angry	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Oppose	Never fair game	A lot	Some	Some	Moderately fair	Some	Some	A lot	Some	A lot	Losing influence	Friendly toward religion	Unfriendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
1289	Dissatisfied	Disapprove	Some of the time	Frustrated	(VOL) Never	No, not keeping promises	Statement #1	(VOL) Neither/Both equally	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not fair at all	Some	A lot	Not too much	Not too much	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
1290	Dissatisfied	(VOL) Don't know/Refused	Hardly at all	Basically content	(VOL) Never	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #2	Favor	Never fair game	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Very fair	A lot	A lot	Not at all	Not at all	Not at all	Losing influence	Neutral toward religion	Unfriendly toward religion	(VOL) Don't know/Refused	Should keep out of political matters	Disapprove	Not too well	A little
1291	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Oppose	Sometimes fair game [OR IS IT]	A lot	A lot	None at all	Not fair at all	A lot	A lot	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Unfriendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
1292	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	None at all	Some	Some	Very fair	Not too much	Some	Not too much	Not too much	Not at all	(VOL) Same	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
1293	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Moderately fair	Not too much	Some	Some	Not at all	Some	Increasing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
1294	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #1	Oppose	Never fair game	A lot	Some	Only a little	Not too fair	A lot	Some	A lot	Not too much	A lot	Increasing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1295	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Only a little	Moderately fair	Not too much	Not at all	Some	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not at all well	A lot
1296	Satisfied	Disapprove	Most of the time	Frustrated	Most of the time	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Not too fair	Not at all	Not at all	A lot	Not at all	Some	Increasing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	(VOL) Don't know/Refused	Disapprove	Very well	A lot
1297	Satisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Favor	Never fair game	Some	Some	Only a little	Moderately fair	Not too much	A lot	Some	Not too much	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
1298	Dissatisfied	Disapprove	Most of the time	Frustrated	(VOL) Never	Yes, keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Favor	Never fair game	A lot	A lot	Only a little	Not fair at all	A lot	A lot	A lot	A lot	A lot	(VOL) Don't know/Refused	Friendly toward religion	Unfriendly toward religion	Neutral toward religion	(VOL) Don't know/Refused	Disapprove	Very well	A lot
1299	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	None at all	Not fair at all	Not too much	Some	A lot	Not at all	A lot	Losing influence	Neutral toward religion	(VOL) Don't know/Refused	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1300	Dissatisfied	Disapprove	Most of the time	Basically content	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	None at all	Moderately fair	Some	Some	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
1301	Satisfied	Approve	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #1	Oppose	Sometimes fair game [OR IS IT]	Only a little	Only a little	Some	Very fair	Not at all	Not at all	Not at all	Not too much	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Very well	A lot
1302	Satisfied	Approve	Most of the time	Frustrated	Most of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #1	Statement #2	Favor	Never fair game	Some	Some	Only a little	Moderately fair	Some	A lot	A lot	Not too much	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
1303	Dissatisfied	Disapprove	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #1	Statement #1	(VOL) Neither/Both equally	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Only a little	Moderately fair	A lot	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
1304	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Favor	Never fair game	A lot	Some	None at all	Moderately fair	Some	A lot	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
1305	Satisfied	Approve	Some of the time	Frustrated	Most of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Oppose	Never fair game	Some	Some	Only a little	Moderately fair	Not too much	A lot	A lot	Not too much	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
1306	Dissatisfied	Disapprove	Only now and then	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #2	Strongly favor	Never fair game	Only a little	A lot	Only a little	Moderately fair	Some	Not at all	A lot	A lot	A lot	Losing influence	Unfriendly toward religion	Unfriendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not at all well	A lot
1307	(VOL) Don't know/Refused	Approve	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #2	Strongly favor	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Some	None at all	Moderately fair	Not too much	Some	Not too much	Some	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	(VOL) Don't know/Refused
1308	Satisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	Only a little	Moderately fair	Some	Some	A lot	Not at all	A lot	(VOL) Same	Unfriendly toward religion	Friendly toward religion	Unfriendly toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
1309	(VOL) Don't know/Refused	Approve	Only now and then	(VOL) Don't know/Refused	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Oppose	Never fair game	Only a little	Only a little	None at all	Not too fair	Some	Not too much	Not too much	Some	Not at all	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	Nothing at all
1310	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	None at all	Not fair at all	Not at all	Not at all	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
1311	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #2	Strongly oppose	Never fair game	Some	Some	Only a little	Moderately fair	A lot	Not too much	Not at all	Some	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A little
1312	(VOL) Don't know/Refused	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly oppose	Never fair game	Only a little	Only a little	Some	Not too fair	Not too much	A lot	A lot	A lot	A lot	Losing influence	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
1313	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	(VOL) Other/Depends	A lot	A lot	A lot	Moderately fair	A lot	Not at all	Some	Some	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Somewhat well	A lot
1314	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Some	A lot	Some	Not at all	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
1315	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Oppose	Never fair game	Some	Some	Only a little	Moderately fair	Some	A lot	Some	Not too much	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
1316	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	Favor	(VOL) Don't know/Refused	Some	Some	Some	Moderately fair	Not too much	A lot	Some	Some	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	Approve	Very well	A lot
1317	Satisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Some	Only a little	Moderately fair	Not too much	Some	A lot	Not too much	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
1318	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #2	Strongly favor	Never fair game	A lot	A lot	Only a little	Not fair at all	Not at all	Not at all	Some	Not at all	A lot	Increasing influence	Friendly toward religion	Unfriendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
